customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0031,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Electronic check,32.36,0.0,No
CUST-0032,Female,0,Yes,No,50,Yes,Yes,No,No,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,23.34,1137.52,No
CUST-0033,Male,1,No,No,6,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),81.21,503.57,No
CUST-0034,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),23.51,532.32,No
CUST-0035,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),102.48,7365.73,Yes
CUST-0036,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,69.71,2701.72,No
CUST-0037,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,Yes,Mailed check,71.23,1258.11,Yes
CUST-0038,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),74.72,165.33,Yes
CUST-0039,Male,1,Yes,No,59,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No internet service,One year,No,Electronic check,35.25,2142.29,No
CUST-0040,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Two year,Yes,Electronic check,37.97,508.37,No
CUST-0041,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),50.2,341.27,No
CUST-0042,Male,1,No,No,52,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No internet service,One year,No,Mailed check,77.94,4140.92,No
CUST-0043,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.22,32.94,No
CUST-0044,Male,0,Yes,No,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,29.75,1658.08,No
CUST-0045,Male,0,No,Yes,70,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,No,Electronic check,115.98,8083.29,No
CUST-0046,Male,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.22,821.84,No
CUST-0047,Male,1,Yes,No,7,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,99.07,659.4,No
CUST-0048,Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.59,4466.88,No
CUST-0049,Female,1,Yes,No,34,No,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,48.02,1619.81,Yes
CUST-0050,Female,0,Yes,No,35,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,31.7,1094.75,Yes
CUST-0051,Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Electronic check,32.71,1597.92,Yes
CUST-0052,Female,0,No,No,3,Yes,No,No,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Mailed check,88.44,294.69,No
CUST-0053,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),82.92,45.6,No
CUST-0054,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,One year,No,Credit card (automatic),97.06,544.35,No
CUST-0055,Female,1,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),112.69,5911.31,No
CUST-0056,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.88,294.4,Yes
CUST-0057,Male,0,Yes,No,53,Yes,Yes,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),33.74,1870.38,No
CUST-0058,Female,1,No,No,62,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,42.59,2631.71,No
CUST-0059,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,103.06,1761.69,No
CUST-0060,Female,0,No,No,43,No,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.14,1634.62,Yes
CUST-0061,Female,0,Yes,No,33,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,25.32,809.97,No
CUST-0062,Male,1,No,No,61,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,89.03,5509.21,No
CUST-0063,Female,0,No,No,13,No,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),58.66,800.0,Yes
CUST-0064,Female,0,No,Yes,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Electronic check,110.92,5234.17,Yes
CUST-0065,Male,0,Yes,No,14,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,83.68,1074.62,Yes
CUST-0066,Male,0,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,27.13,1890.41,No
CUST-0067,Female,1,No,Yes,61,Yes,No,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,113.73,7024.48,No
CUST-0068,Male,0,Yes,No,39,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Two year,No,Electronic check,44.11,1740.83,No
CUST-0069,Male,0,Yes,No,52,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,52.06,2733.9,No
CUST-0070,Female,0,Yes,Yes,23,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No,One year,No,Electronic check,58.63,1357.02,Yes
CUST-0071,Male,0,Yes,No,25,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,23.17,548.6,Yes
CUST-0072,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.15,4037.48,No
CUST-0073,Male,1,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),30.46,1141.89,No
CUST-0074,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,58.5,1557.73,No
CUST-0075,Female,0,Yes,No,14,No,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),53.42,711.12,No
CUST-0076,Male,0,Yes,Yes,44,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),96.06,4236.25,No
CUST-0077,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,99.12,6265.2,Yes
CUST-0078,Female,1,Yes,Yes,70,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,33.49,2350.65,No
CUST-0079,Male,0,Yes,No,8,Yes,No,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,55.02,390.43,No
CUST-0080,Female,0,Yes,No,0,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),55.71,0.0,Yes
CUST-0081,Female,0,No,Yes,7,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No,Two year,Yes,Mailed check,33.29,298.01,No
CUST-0082,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,98.64,6117.54,Yes
CUST-0083,Male,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,89.43,849.11,No
CUST-0084,Female,0,No,Yes,7,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,37.23,269.95,Yes
CUST-0085,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,55.04,1797.88,No
CUST-0086,Female,0,Yes,Yes,34,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.69,994.58,No
CUST-0087,Male,0,Yes,No,32,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,81.45,2661.77,Yes
CUST-0088,Female,0,No,No,4,No,Yes,DSL,No,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,30.26,154.13,No
CUST-0089,Male,0,Yes,No,40,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),117.58,4811.09,Yes
CUST-0090,Male,0,No,No,27,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),96.85,2518.03,No
CUST-0091,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,57.41,350.81,No
CUST-0092,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,76.43,5435.78,Yes
CUST-0093,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Electronic check,110.05,7804.89,No
CUST-0094,Female,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,73.96,813.64,No
CUST-0095,Male,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.62,1289.45,No
CUST-0096,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,No,Mailed check,56.25,1797.01,No
CUST-0097,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,103.16,4844.6,No
CUST-0098,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),83.07,1877.8,No
CUST-0099,Male,0,No,Yes,61,Yes,No phone service,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,83.72,5104.28,No
CUST-0100,Male,0,No,Yes,36,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No,One year,Yes,Mailed check,105.55,3891.36,No
CUST-0101,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),108.29,4689.95,Yes
CUST-0102,Female,0,No,No,34,Yes,No,DSL,No,No internet service,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),110.9,3812.03,No
CUST-0103,Female,0,Yes,No,64,Yes,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Mailed check,27.58,1671.74,No
CUST-0104,Male,0,No,Yes,46,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.96,3455.42,No
CUST-0105,Female,0,Yes,No,2,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),92.79,152.76,No
CUST-0106,Female,0,No,No,0,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,94.45,0.0,No
CUST-0107,Female,0,Yes,No,4,Yes,No,No,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),79.28,284.48,Yes
CUST-0108,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),34.85,401.84,Yes
CUST-0109,Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.54,2501.93,Yes
CUST-0110,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),90.73,731.0,No
CUST-0111,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),26.7,275.31,No
CUST-0112,Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),64.84,2646.3,Yes
CUST-0113,Male,1,Yes,No,50,Yes,No,No,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,35.57,1831.39,Yes
CUST-0114,Male,1,No,No,62,No,No,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),52.09,3261.18,Yes
CUST-0115,Male,0,No,No,51,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,19.83,1032.95,No
CUST-0116,Male,0,Yes,No,3,No,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),58.43,130.52,No
CUST-0117,Female,1,No,No,22,No,No,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.54,1538.58,No
CUST-0118,Female,0,No,No,14,Yes,Yes,DSL,No internet service,No,No,No,No,No,Two year,No,Electronic check,80.58,1180.21,No
CUST-0119,Male,0,No,No,42,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Two year,Yes,Electronic check,85.01,3547.97,No
CUST-0120,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Two year,No,Electronic check,102.47,2865.01,No
CUST-0121,Male,1,No,No,35,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,No,Electronic check,39.76,1381.72,No
CUST-0122,Male,1,No,No,12,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,30.17,395.66,Yes
CUST-0123,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,104.01,3316.48,No
CUST-0124,Female,0,No,No,70,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,33.82,2440.52,Yes
CUST-0125,Male,1,No,No,58,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),116.45,6637.49,No
CUST-0126,Male,1,Yes,No,27,Yes,Yes,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.1,2768.27,Yes
CUST-0127,Female,0,Yes,No,65,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),68.59,4391.01,No
CUST-0128,Female,0,No,No,41,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,No,Mailed check,117.12,4848.84,No
CUST-0129,Male,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,27.84,1225.16,No
CUST-0130,Female,0,No,No,61,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,One year,No,Mailed check,48.61,2995.52,No
CUST-0131,Male,0,Yes,No,56,Yes,Yes,No,No internet service,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),82.46,4598.05,No
CUST-0132,Male,0,No,Yes,5,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),53.35,214.78,Yes
CUST-0133,Male,1,No,No,27,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,111.77,2974.38,No
CUST-0134,Male,0,Yes,Yes,27,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),24.63,588.36,No
CUST-0135,Male,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),73.49,3096.89,No
CUST-0136,Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,77.68,2179.01,Yes
CUST-0137,Female,0,Yes,Yes,61,No,No,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,83.93,5067.94,No
CUST-0138,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Two year,No,Mailed check,43.82,2618.41,No
CUST-0139,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,54.82,19.7,Yes
CUST-0140,Female,0,No,No,26,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,103.21,2701.2,No
CUST-0141,Male,0,No,Yes,61,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,37.69,2318.74,No
CUST-0142,Male,0,Yes,No,2,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No,Two year,Yes,Electronic check,101.51,261.77,No
CUST-0143,Male,0,No,No,69,Yes,No,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,74.83,5159.35,No
CUST-0144,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,94.98,6704.54,Yes
CUST-0145,Male,0,Yes,No,26,Yes,No,No,No,Yes,Yes,Yes,Yes,No internet service,Two year,No,Electronic check,90.07,2452.39,No
CUST-0146,Male,0,No,No,8,Yes,No,DSL,No,No internet service,No,No,No internet service,Yes,Two year,No,Electronic check,38.96,356.96,No
CUST-0147,Male,1,No,No,61,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,75.45,4610.07,No
CUST-0148,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,105.64,3807.18,Yes
CUST-0149,Male,1,No,Yes,50,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),61.64,3096.48,Yes
CUST-0150,Female,0,Yes,Yes,43,No,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),115.63,4961.98,No
CUST-0151,Female,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,63.67,1470.82,Yes
CUST-0152,Female,0,Yes,Yes,58,No,No,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,32.42,1905.33,No
CUST-0153,Female,0,Yes,Yes,31,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,One year,No,Credit card (automatic),57.33,1740.9,Yes
CUST-0154,Female,0,No,Yes,51,Yes,No,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.12,5738.41,Yes
CUST-0155,Male,0,No,Yes,61,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Electronic check,50.29,2963.91,No
CUST-0156,Female,0,No,No,57,Yes,No,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.68,6068.15,No
CUST-0157,Male,0,No,Yes,51,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,107.01,5378.36,No
CUST-0158,Female,0,Yes,No,11,Yes,No,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),53.37,610.34,No
CUST-0159,Female,1,Yes,No,38,Yes,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),26.41,945.86,No
CUST-0160,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,91.18,34.27,Yes
CUST-0161,Male,1,No,No,2,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),49.46,63.01,No
CUST-0162,Male,0,No,Yes,55,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,97.08,5349.11,No
CUST-0163,Female,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,62.71,3572.75,No
CUST-0164,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,67.01,36.16,Yes
CUST-0165,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),96.57,95.28,No
CUST-0166,Female,0,No,No,53,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,56.62,2940.35,No
CUST-0167,Male,0,Yes,Yes,0,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.76,71.41,No
CUST-0168,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),56.0,921.87,No
CUST-0169,Female,0,Yes,No,1,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,55.1,44.19,Yes
CUST-0170,Female,1,No,No,52,Yes,No,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.12,3761.87,No
CUST-0171,Male,0,Yes,Yes,43,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,99.69,4220.45,No
CUST-0172,Male,0,Yes,No,31,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),54.54,1685.26,No
